[info] # Run complete. Total time: 05:55:49
[info] REMEMBER: The numbers below are just data. To gain reusable insights, you need to follow up on
[info] why the numbers are the way they are. Use profilers (see -prof, -lprof), design factorial
[info] experiments, perform baseline and negative tests that provide experimental control, make sure
[info] the benchmarking environment is safe on JVM/OS/HW level, ask for reviews from the domain experts.
[info] Do not assume the numbers tell you what you want them to tell.
[info] NOTE: Current JVM experimentally supports Compiler Blackholes, and they are in use. Please exercise
[info] extra caution when trusting the results, look into the generated code to check the benchmark still
[info] works, and factor in a small probability of new VM bugs. Additionally, while comparisons between
[info] different JVMs are already problematic, the performance difference caused by different Blackhole
[info] modes can be very significant. Please make sure you use the consistent Blackhole mode for comparisons.
[info] Benchmark                                                                                            Mode  Cnt      Score     Error  Units
[info] RealWorldFaultTreesBenchmark.timeFT10_SubmarinePipelineStopperFailure_mince                          avgt   25      0,442 ∩┐╜   0,007  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT10_SubmarinePipelineStopperFailure_pase                           avgt   25      0,184 ∩┐╜   0,010  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT10_SubmarinePipelineStopperFailure_remind                         avgt   25      0,045 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT11_PCBA_mince                                                     avgt   25      0,549 ∩┐╜   0,008  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT11_PCBA_pase                                                      avgt   25      1,834 ∩┐╜   0,023  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT11_PCBA_remind                                                    avgt   25      0,051 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT12_OGPF_mince                                                     avgt   25  11208,881 ∩┐╜ 309,098  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT12_OGPF_pase                                                      avgt   25      1,292 ∩┐╜   0,025  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT12_OGPF_remind                                                    avgt   25    999,464 ∩┐╜   8,930  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT13_BHNGPipeline_mince                                             avgt   25      1,419 ∩┐╜   0,033  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT13_BHNGPipeline_pase                                              avgt   25      0,484 ∩┐╜   0,009  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT13_BHNGPipeline_remind                                            avgt   25      0,085 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT14_HSC_pase                                                       avgt   25      8,020 ∩┐╜   0,090  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT14_HSC_remind                                                     avgt   25      0,435 ∩┐╜   0,006  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT1_MainTrackTrainCollisionsLeadingToFatalitiesAndInjuries_eminent  avgt   25      6,327 ∩┐╜   0,111  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT1_MainTrackTrainCollisionsLeadingToFatalitiesAndInjuries_mince    avgt   25      0,021 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT1_MainTrackTrainCollisionsLeadingToFatalitiesAndInjuries_pase     avgt   25      0,015 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT1_MainTrackTrainCollisionsLeadingToFatalitiesAndInjuries_remind   avgt   25      0,006 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT2_T0Chopper_mince                                                 avgt   25      0,071 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT2_T0Chopper_pase                                                  avgt   25      0,043 ∩┐╜   0,001  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT2_T0Chopper_remind                                                avgt   25      0,156 ∩┐╜   0,002  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT3_ATCFailsToResolveTheConflict_mince                              avgt   25      0,590 ∩┐╜   0,008  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT3_ATCFailsToResolveTheConflict_pase                               avgt   25      0,874 ∩┐╜   0,010  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT3_ATCFailsToResolveTheConflict_remind                             avgt   25      0,033 ∩┐╜   0,004  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT4_AircraftRunwayExcursionAccidents_mince                          avgt   25      4,622 ∩┐╜   0,142  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT4_AircraftRunwayExcursionAccidents_pase                           avgt   25      1,826 ∩┐╜   0,078  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT4_AircraftRunwayExcursionAccidents_remind                         avgt   25      0,028 ∩┐╜   0,002  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT5_LiquidStorageTank_mince                                         avgt   25      0,279 ∩┐╜   0,131  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT5_LiquidStorageTank_pase                                          avgt   25      0,165 ∩┐╜   0,039  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT5_LiquidStorageTank_remind                                        avgt   25      0,033 ∩┐╜   0,007  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT6_LeakageFailure_mince                                            avgt   25      0,384 ∩┐╜   0,052  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT6_LeakageFailure_pase                                             avgt   25      0,331 ∩┐╜   0,039  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT6_LeakageFailure_remind                                           avgt   25      0,048 ∩┐╜   0,009  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT7_AssessingTheRisks1_mince                                        avgt   25      0,263 ∩┐╜   0,028  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT7_AssessingTheRisks1_pase                                         avgt   25      0,130 ∩┐╜   0,011  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT7_AssessingTheRisks1_remind                                       avgt   25      0,039 ∩┐╜   0,006  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT8_ChlorineRelease_mince                                           avgt   25      0,848 ∩┐╜   0,096  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT8_ChlorineRelease_pase                                            avgt   25      0,268 ∩┐╜   0,040  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT8_ChlorineRelease_remind                                          avgt   25      1,214 ∩┐╜   0,044  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT9_LossContainerAtPort_mince                                       avgt   25      0,313 ∩┐╜   0,013  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT9_LossContainerAtPort_pase                                        avgt   25      0,178 ∩┐╜   0,028  ms/op
[info] RealWorldFaultTreesBenchmark.timeFT9_LossContainerAtPort_remind                                      avgt   25      0,049 ∩┐╜   0,005  ms/op
